                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9215,                 2.4984,                 1.5735,                      0,                      0,                      0,                      0,                      0,                 325.79,                      0,                0.00024,                0.00024,                0.00024
                      2,                 1.6793,                 1.5132,                 1.3742,                      0,                      0,                      0,                      0,                      0,                 314.21,                      0,             0.00049505,             0.00049505,             0.00049505
                      3,                 1.7205,                 1.4591,                 1.3999,                      0,                      0,                      0,                      0,                      0,                 720.33,                      0,             0.00074495,             0.00074495,             0.00074495
                      4,                 1.6795,                 1.5723,                  1.384,                      0,                      0,                      0,                      0,                      0,                 569.33,                      0,             0.00098971,             0.00098971,             0.00098971
                      5,                 1.6471,                 1.9573,                 1.4273,                      0,                      0,                      0,                      0,                      0,                  783.5,                      0,              0.0012293,              0.0012293,              0.0012293
                      6,                 1.7314,                 1.6907,                 1.4776,                      0,                      0,                      0,                      0,                      0,                   2253,                      0,              0.0014638,              0.0014638,              0.0014638
                      7,                  1.782,                 1.7003,                 1.5064,                      0,                      0,                      0,                      0,                      0,                 576.33,                      0,              0.0016931,              0.0016931,              0.0016931
                      8,                 1.8594,                 2.2869,                 1.6914,                      0,                      0,                      0,                      0,                      0,                 243.54,                      0,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.7618,                 2.1089,                 1.5719,                      0,                      0,                      0,                      0,                      0,                 243.54,                      0,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.7533,                 1.8903,                 1.5723,                      0,                      0,                      0,                      0,                      0,                 1087.5,                      0,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.7838,                 1.6573,                 1.5395,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.9343,                 2.2228,                 1.7531,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.001802,               0.001802,               0.001802
                     13,                 1.9715,                 2.3731,                 1.6753,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0017822,              0.0017822,              0.0017822
                     14,                  1.835,                 1.7098,                 1.5212,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.7909,                 1.6666,                 1.6432,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.8114,                 1.4038,                 1.5287,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.8357,                 1.4367,                 1.5994,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.001703,               0.001703,               0.001703
